name,value,date
Oracle,1516.56,2012-11
Oracle,1488.9389999999999,2012-12
Oracle,1559.332,2013-01
Oracle,1567.933,2013-02
Oracle,1533.395,2013-03
Oracle,1560.594,2013-04
Oracle,1545.86,2013-05
Oracle,1514.896,2013-06
Oracle,1527.639,2013-07
Oracle,1544.4360000000001,2013-08
Oracle,1529.611,2013-09
Oracle,1583.845,2013-10
Oracle,1617.192,2013-11
Oracle,1468.058,2013-12
Oracle,1467.7939999999999,2014-01
Oracle,1500.229,2014-02
Oracle,1491.799,2014-03
Oracle,1514.08,2014-04
Oracle,1502.739,2014-05
Oracle,1500.918,2014-06
Oracle,1485.1170000000002,2014-07
Oracle,1470.8570000000002,2014-08
Oracle,1466.908,2014-09
Oracle,1471.898,2014-10
Oracle,1452.1270000000002,2014-11
Oracle,1459.795,2014-12
Oracle,1439.161,2015-01
Oracle,1439.72,2015-02
Oracle,1469.086,2015-03
Oracle,1446.129,2015-04
Oracle,1442.0970000000002,2015-05
Oracle,1466.361,2015-06
Oracle,1456.724,2015-07
Oracle,1453.024,2015-08
Oracle,1463.374,2015-09
Oracle,1466.9520000000002,2015-10
Oracle,1480.9460000000001,2015-11
Oracle,1497.555,2015-12
Oracle,1496.0839999999998,2016-01
Oracle,1476.141,2016-02
Oracle,1472.0120000000002,2016-03
Oracle,1467.5320000000002,2016-04
Oracle,1462.024,2016-05
Oracle,1449.2479999999998,2016-06
Oracle,1441.5279999999998,2016-07
Oracle,1427.7220000000002,2016-08
Oracle,1425.565,2016-09
Oracle,1417.102,2016-10
Oracle,1413.0079999999998,2016-11
Oracle,1404.405,2016-12
Oracle,1416.724,2017-01
Oracle,1403.83,2017-02
Oracle,1399.4979999999998,2017-03
Oracle,1401.996,2017-04
Oracle,1354.3139999999999,2017-05
Oracle,1351.7620000000002,2017-06
Oracle,1374.8770000000002,2017-07
Oracle,1367.875,2017-08
Oracle,1359.09,2017-09
Oracle,1348.8039999999999,2017-10
Oracle,1360.0520000000001,2017-11
Oracle,1341.545,2017-12
Oracle,1341.941,2018-01
Oracle,1303.277,2018-02
Oracle,1289.607,2018-03
Oracle,1289.787,2018-04
Oracle,1290.4160000000002,2018-05
Oracle,1311.2520000000002,2018-06
Oracle,1277.787,2018-07
Oracle,1312.0220000000002,2018-08
Oracle,1309.117,2018-09
Oracle,1319.2679999999998,2018-10
Oracle,1301.112,2018-11
Oracle,1283.222,2018-12
Oracle,1268.836,2019-01
Oracle,1264.017,2019-02
Oracle,1279.138,2019-03
Oracle,1279.94,2019-04
Oracle,1285.549,2019-05
Oracle,1299.215,2019-06
Oracle,1321.257,2019-07
Oracle,1339.477,2019-08
Oracle,1346.6570000000002,2019-09
Oracle,1355.878,2019-10
Oracle,1336.068,2019-11
Oracle,1346.3929999999998,2019-12
MySQL,1273.47,2012-11
MySQL,1324.6729999999998,2012-12
MySQL,1313.6770000000001,2013-01
MySQL,1284.7830000000001,2013-02
