name,value,date
Microsoft Azure Cosmos DB,0.0,2013-07
Microsoft Azure Cosmos DB,0.0,2013-08
Microsoft Azure Cosmos DB,0.0,2013-09
Microsoft Azure Cosmos DB,0.0,2013-10
Microsoft Azure Cosmos DB,0.0,2013-11
Microsoft Azure Cosmos DB,0.0,2013-12
Microsoft Azure Cosmos DB,0.0,2014-01
Microsoft Azure Cosmos DB,0.0,2014-02
Microsoft Azure Cosmos DB,0.0,2014-03
Microsoft Azure Cosmos DB,0.0,2014-04
Microsoft Azure Cosmos DB,0.0,2014-05
Microsoft Azure Cosmos DB,0.0,2014-06
Microsoft Azure Cosmos DB,0.0,2014-07
Microsoft Azure Cosmos DB,0.0,2014-08
Microsoft Azure Cosmos DB,0.0,2014-09
Microsoft Azure Cosmos DB,0.65,2014-10
Microsoft Azure Cosmos DB,0.644,2014-11
Microsoft Azure Cosmos DB,0.6629999999999999,2014-12
Microsoft Azure Cosmos DB,0.565,2015-01
Microsoft Azure Cosmos DB,0.585,2015-02
Microsoft Azure Cosmos DB,0.6920000000000001,2015-03
Microsoft Azure Cosmos DB,0.823,2015-04
Microsoft Azure Cosmos DB,0.965,2015-05
Microsoft Azure Cosmos DB,1.119,2015-06
Microsoft Azure Cosmos DB,1.298,2015-07
Microsoft Azure Cosmos DB,1.406,2015-08
Microsoft Azure Cosmos DB,1.495,2015-09
Microsoft Azure Cosmos DB,1.555,2015-10
Microsoft Azure Cosmos DB,1.8769999999999998,2015-11
Microsoft Azure Cosmos DB,1.976,2015-12
Microsoft Azure Cosmos DB,2.037,2016-01
Microsoft Azure Cosmos DB,2.123,2016-02
Microsoft Azure Cosmos DB,2.166,2016-03
Microsoft Azure Cosmos DB,2.023,2016-04
Microsoft Azure Cosmos DB,2.301,2016-05
Microsoft Azure Cosmos DB,2.351,2016-06
Microsoft Azure Cosmos DB,2.411,2016-07
Microsoft Azure Cosmos DB,2.55,2016-08
Microsoft Azure Cosmos DB,2.8169999999999997,2016-09
Microsoft Azure Cosmos DB,2.8930000000000002,2016-10
Microsoft Azure Cosmos DB,3.252,2016-11
Microsoft Azure Cosmos DB,3.425,2016-12
Microsoft Azure Cosmos DB,3.512,2017-01
Microsoft Azure Cosmos DB,3.735,2017-02
Microsoft Azure Cosmos DB,3.95,2017-03
Microsoft Azure Cosmos DB,4.279,2017-04
Microsoft Azure Cosmos DB,4.84,2017-05
Microsoft Azure Cosmos DB,6.377000000000001,2017-06
Microsoft Azure Cosmos DB,7.705,2017-07
Microsoft Azure Cosmos DB,9.421,2017-08
Microsoft Azure Cosmos DB,11.228,2017-09
Microsoft Azure Cosmos DB,12.63,2017-10
Microsoft Azure Cosmos DB,13.032,2017-11
Microsoft Azure Cosmos DB,14.133,2017-12
Microsoft Azure Cosmos DB,14.856,2018-01
Microsoft Azure Cosmos DB,16.184,2018-02
Microsoft Azure Cosmos DB,16.756,2018-03
Microsoft Azure Cosmos DB,17.187,2018-04
Microsoft Azure Cosmos DB,17.537,2018-05
Microsoft Azure Cosmos DB,19.197,2018-06
Microsoft Azure Cosmos DB,19.45,2018-07
Microsoft Azure Cosmos DB,19.524,2018-08
Microsoft Azure Cosmos DB,19.177,2018-09
Microsoft Azure Cosmos DB,20.259,2018-10
Microsoft Azure Cosmos DB,22.034000000000002,2018-11
Microsoft Azure Cosmos DB,23.375999999999998,2018-12
Microsoft Azure Cosmos DB,24.384,2019-01
Microsoft Azure Cosmos DB,24.857,2019-02
Microsoft Azure Cosmos DB,24.825,2019-03
Microsoft Azure Cosmos DB,26.276999999999997,2019-04
Microsoft Azure Cosmos DB,27.593000000000004,2019-05
Microsoft Azure Cosmos DB,28.246,2019-06
Microsoft Azure Cosmos DB,29.081,2019-07
Microsoft Azure Cosmos DB,29.936,2019-08
Microsoft Azure Cosmos DB,30.865,2019-09
Microsoft Azure Cosmos DB,31.329,2019-10
Microsoft Azure Cosmos DB,31.979,2019-11
Microsoft Azure Cosmos DB,31.435,2019-12
Memcached,28.98,2012-11
Memcached,23.694000000000003,2012-12
Memcached,25.112,2013-01
Memcached,23.281999999999996,2013-02
Memcached,24.97,2013-03
Memcached,24.802,2013-04
Memcached,28.948,2013-05
Memcached,30.725,2013-06
Memcached,29.455,2013-07
Memcached,29.406999999999996,2013-08
Memcached,30.430999999999997,2013-09
Memcached,28.127,2013-10
Memcached,28.503,2013-11
Memcached,36.093,2013-12
Memcached,35.98,2014-01
Memcached,34.729,2014-02
Memcached,32.903,2014-03
Memcached,30.987,2014-04
Memcached,31.744,2014-05
Memcached,31.434,2014-06
Memcached,30.976999999999997,2014-07
Memcached,30.988000000000003,2014-08
Memcached,31.588,2014-09
Memcached,32.608000000000004,2014-10
Memcached,32.591,2014-11
Memcached,33.69,2014-12
Memcached,34.374,2015-01
Memcached,35.064,2015-02
Memcached,35.51,2015-03
Memcached,34.043,2015-04
Memcached,33.109,2015-05
Memcached,33.417,2015-06
Memcached,33.128,2015-07
Memcached,33.382,2015-08
Memcached,32.422,2015-09
Memcached,31.570999999999998,2015-10
Memcached,32.391999999999996,2015-11
Memcached,30.935,2015-12
Memcached,29.971999999999998,2016-01
Memcached,28.934,2016-02
Memcached,29.239,2016-03
Memcached,28.006999999999998,2016-04
Memcached,27.901,2016-05
Memcached,27.413,2016-06
Memcached,27.195999999999998,2016-07
Memcached,27.695,2016-08
Memcached,28.43,2016-09
Memcached,29.090999999999998,2016-10
Memcached,29.188000000000002,2016-11
Memcached,28.772,2016-12
Memcached,28.439,2017-01
Memcached,30.531999999999996,2017-02
Memcached,30.041,2017-03
Memcached,29.531,2017-04
Memcached,29.406999999999996,2017-05
Memcached,28.736,2017-06
Memcached,28.526999999999997,2017-07
Memcached,29.961,2017-08
Memcached,28.941,2017-09
Memcached,27.636,2017-10
Memcached,27.987,2017-11
Memcached,28.433000000000003,2017-12
Memcached,28.156,2018-01
Memcached,28.933000000000003,2018-02
Memcached,31.35,2018-03
Memcached,33.787,2018-04
Memcached,33.556999999999995,2018-05
Memcached,33.805,2018-06
Memcached,33.876,2018-07
Memcached,32.913000000000004,2018-08
Memcached,31.537,2018-09
Memcached,30.558000000000003,2018-10
Memcached,29.754,2018-11
Memcached,29.616,2018-12
Memcached,29.541,2019-01
Memcached,29.448,2019-02
Memcached,28.73,2019-03
Memcached,28.726999999999997,2019-04
Memcached,28.9,2019-05
Memcached,28.011,2019-06
Memcached,27.068,2019-07
Memcached,27.011999999999997,2019-08
Memcached,26.461,2019-09
Memcached,25.899,2019-10
Memcached,25.121,2019-11
Memcached,24.461,2019-12
Hazelcast,0.0,2012-11
Hazelcast,0.0,2012-12
Hazelcast,0.0,2013-01
Hazelcast,0.0,2013-02
Hazelcast,0.0,2013-03
Hazelcast,0.0,2013-04
Hazelcast,1.493,2013-05
Hazelcast,1.617,2013-06
Hazelcast,1.537,2013-07
Hazelcast,1.224,2013-08
Hazelcast,1.179,2013-09
Hazelcast,1.168,2013-10
Hazelcast,1.95,2013-11
Hazelcast,2.74,2013-12
Hazelcast,3.015,2014-01
Hazelcast,3.109,2014-02
Hazelcast,3.613,2014-03
Hazelcast,3.6839999999999997,2014-04
Hazelcast,3.9819999999999998,2014-05
Hazelcast,4.03,2014-06
Hazelcast,4.143,2014-07
Hazelcast,4.675,2014-08
Hazelcast,4.57,2014-09
Hazelcast,4.9,2014-10
Hazelcast,5.149,2014-11
Hazelcast,5.0,2014-12
Hazelcast,5.354,2015-01
Hazelcast,5.797000000000001,2015-02
Hazelcast,5.746,2015-03
Hazelcast,5.678,2015-04
Hazelcast,5.816,2015-05
Hazelcast,5.685,2015-06
Hazelcast,6.081,2015-07
Hazelcast,6.27,2015-08
Hazelcast,6.563,2015-09
Hazelcast,7.031000000000001,2015-10
Hazelcast,7.063,2015-11
Hazelcast,6.836,2015-12
Hazelcast,6.662999999999999,2016-01
Hazelcast,6.547999999999999,2016-02
Hazelcast,6.81,2016-03
Hazelcast,6.68,2016-04
Hazelcast,6.888,2016-05
Hazelcast,6.997999999999999,2016-06
Hazelcast,7.106,2016-07
Hazelcast,7.3260000000000005,2016-08
Hazelcast,7.41,2016-09
Hazelcast,7.5329999999999995,2016-10
Hazelcast,7.239,2016-11
Hazelcast,7.086,2016-12
Hazelcast,7.1610000000000005,2017-01
Hazelcast,7.781000000000001,2017-02
Hazelcast,7.985,2017-03
Hazelcast,7.983,2017-04
Hazelcast,8.395,2017-05
Hazelcast,8.612,2017-06
Hazelcast,8.91,2017-07
Hazelcast,8.732999999999999,2017-08
Hazelcast,8.724,2017-09
Hazelcast,8.682,2017-10
Hazelcast,8.792,2017-11
Hazelcast,8.961,2017-12
Hazelcast,8.74,2018-01
Hazelcast,8.672,2018-02
Hazelcast,9.035,2018-03
Hazelcast,9.197000000000001,2018-04
Hazelcast,9.215,2018-05
Hazelcast,9.09,2018-06
Hazelcast,8.765,2018-07
Hazelcast,8.595,2018-08
Hazelcast,8.776,2018-09
Hazelcast,9.24,2018-10
Hazelcast,9.266,2018-11
Hazelcast,8.978,2018-12
Hazelcast,8.618,2019-01
Hazelcast,8.891,2019-02
Hazelcast,8.021,2019-03
Hazelcast,8.351,2019-04
Hazelcast,8.425,2019-05
Hazelcast,7.8629999999999995,2019-06
Hazelcast,8.267999999999999,2019-07
Hazelcast,8.418,2019-08
Hazelcast,7.544,2019-09
Hazelcast,7.712999999999999,2019-10
Hazelcast,7.819,2019-11
Hazelcast,8.029,2019-12
etcd,0.0,2012-11
etcd,0.0,2012-12
etcd,0.0,2013-01
etcd,0.0,2013-02
etcd,0.0,2013-03
etcd,0.0,2013-04
etcd,0.0,2013-05
etcd,0.0,2013-06
etcd,0.0,2013-07
etcd,0.0,2013-08
etcd,0.0,2013-09
etcd,0.0,2013-10
etcd,0.0,2013-11
etcd,0.0,2013-12
etcd,0.0,2014-01
etcd,0.0,2014-02
etcd,0.0,2014-03
etcd,0.0,2014-04
etcd,0.0,2014-05
etcd,0.0,2014-06
etcd,0.0,2014-07
etcd,0.0,2014-08
etcd,0.0,2014-09
etcd,0.0,2014-10
etcd,0.0,2014-11
etcd,0.0,2014-12
etcd,0.0,2015-01
etcd,0.0,2015-02
etcd,0.0,2015-03
etcd,0.0,2015-04
etcd,0.0,2015-05
etcd,0.0,2015-06
etcd,0.0,2015-07
etcd,0.0,2015-08
etcd,0.0,2015-09
etcd,0.0,2015-10
etcd,0.0,2015-11
etcd,0.0,2015-12
etcd,0.0,2016-01
etcd,0.0,2016-02
etcd,0.0,2016-03
etcd,0.0,2016-04
etcd,0.0,2016-05
etcd,0.0,2016-06
etcd,0.0,2016-07
etcd,0.0,2016-08
etcd,0.0,2016-09
etcd,0.0,2016-10
etcd,0.0,2016-11
etcd,0.0,2016-12
etcd,0.0,2017-01
etcd,0.0,2017-02
