Comdb2,2019-07,0.263
Comdb2,2019-08,0.288
Comdb2,2019-09,0.312
Comdb2,2019-10,0.299
Comdb2,2019-11,0.283
ObjectBox,2018-10,0.317
ObjectBox,2018-11,0.368
ObjectBox,2018-12,0.368
ObjectBox,2019-01,0.392
ObjectBox,2019-02,0.384
ObjectBox,2019-03,0.547
ObjectBox,2019-04,0.380
ObjectBox,2019-05,0.393
ObjectBox,2019-06,0.400
ObjectBox,2019-07,0.510
ObjectBox,2019-08,0.401
ObjectBox,2019-09,0.423
ObjectBox,2019-10,0.400
ObjectBox,2019-11,0.438
Sadas Engine,2017-10,0.005
Sadas Engine,2017-11,0.005
Sadas Engine,2017-12,0.005
Sadas Engine,2018-01,0.005
Sadas Engine,2018-02,0.005
Sadas Engine,2018-03,0.005
Sadas Engine,2018-04,0.005
Sadas Engine,2018-05,0.005
Sadas Engine,2018-06,0.005
Sadas Engine,2018-07,0.005
Sadas Engine,2018-08,0.005
Sadas Engine,2018-09,0.005
Sadas Engine,2018-10,0.005
Sadas Engine,2018-11,0.027
Sadas Engine,2018-12,0.005
Sadas Engine,2019-01,0.005
Sadas Engine,2019-02,0.005
Sadas Engine,2019-03,0.005
Sadas Engine,2019-04,0.005
Sadas Engine,2019-05,0.021
Sadas Engine,2019-06,0.044
Sadas Engine,2019-07,0.064
Sadas Engine,2019-08,0.044
Sadas Engine,2019-09,0.044
Sadas Engine,2019-10,0.005
Sadas Engine,2019-11,0.005
Badger,2017-08,0.005
Badger,2017-09,0.042
Badger,2017-10,0.034
Badger,2017-11,0.005
Badger,2017-12,0.005
Badger,2018-01,0.005
Badger,2018-02,0.005
Badger,2018-03,0.005
Badger,2018-04,0.005
Badger,2018-05,0.005
Badger,2018-06,0.005
Badger,2018-07,0.005
Badger,2018-08,0.005
Badger,2018-09,0.005
Badger,2018-10,0.057
Badger,2018-11,0.082
Badger,2018-12,0.079
Badger,2019-01,0.112
Badger,2019-02,0.094
Badger,2019-03,0.060
Badger,2019-04,0.088
Badger,2019-05,0.102
Badger,2019-06,0.102
Badger,2019-07,0.095
Badger,2019-08,0.071
Badger,2019-09,0.065
Badger,2019-10,0.073
Badger,2019-11,0.065
Alibaba Cloud Table Store,2017-07,0.011
Alibaba Cloud Table Store,2017-08,0.005
Alibaba Cloud Table Store,2017-09,0.005
Alibaba Cloud Table Store,2017-10,0.005
Alibaba Cloud Table Store,2017-11,0.005
Alibaba Cloud Table Store,2017-12,0.005
Alibaba Cloud Table Store,2018-01,0.005
Alibaba Cloud Table Store,2018-02,0.005
Alibaba Cloud Table Store,2018-03,0.005
Alibaba Cloud Table Store,2018-04,0.005
Alibaba Cloud Table Store,2018-05,0.005
Alibaba Cloud Table Store,2018-06,0.005
Alibaba Cloud Table Store,2018-07,0.051
Alibaba Cloud Table Store,2018-08,0.057
Alibaba Cloud Table Store,2018-09,0.058
Alibaba Cloud Table Store,2018-10,0.090
Alibaba Cloud Table Store,2018-11,0.111
Alibaba Cloud Table Store,2018-12,0.184
Alibaba Cloud Table Store,2019-01,0.205
Alibaba Cloud Table Store,2019-02,0.208
Alibaba Cloud Table Store,2019-03,0.210
Alibaba Cloud Table Store,2019-04,0.203
Alibaba Cloud Table Store,2019-05,0.216
Alibaba Cloud Table Store,2019-06,0.227
Alibaba Cloud Table Store,2019-07,0.242
Alibaba Cloud Table Store,2019-08,0.236
Alibaba Cloud Table Store,2019-09,0.243
Alibaba Cloud Table Store,2019-10,0.264
Alibaba Cloud Table Store,2019-11,0.297
Lovefield,2017-03,0.228
Lovefield,2017-04,0.237
Lovefield,2017-05,0.254
Lovefield,2017-06,0.289
Lovefield,2017-07,0.307
Lovefield,2017-08,0.290
Lovefield,2017-09,0.265
Lovefield,2017-10,0.253
Lovefield,2017-11,0.242
Lovefield,2017-12,0.243
Lovefield,2018-01,0.249
Lovefield,2018-02,0.252
Lovefield,2018-03,0.246
Lovefield,2018-04,0.249
Lovefield,2018-05,0.245
Lovefield,2018-06,0.238
Lovefield,2018-07,0.240
Lovefield,2018-08,0.239
Lovefield,2018-09,0.237
Lovefield,2018-10,0.210
Lovefield,2018-11,0.186
Lovefield,2018-12,0.222
Lovefield,2019-01,0.241
Lovefield,2019-02,0.235
Lovefield,2019-03,0.207
Lovefield,2019-04,0.220
Lovefield,2019-05,0.203
Lovefield,2019-06,0.204
Lovefield,2019-07,0.183
Lovefield,2019-08,0.157
Lovefield,2019-09,0.188
Lovefield,2019-10,0.211
Lovefield,2019-11,0.223
SiriDB,2017-01,0.005
SiriDB,2017-02,0.005
SiriDB,2017-03,0.005
SiriDB,2017-04,0.005
SiriDB,2017-05,0.005
SiriDB,2017-06,0.005
SiriDB,2017-07,0.005
SiriDB,2017-08,0.005
SiriDB,2017-09,0.005
SiriDB,2017-10,0.005
SiriDB,2017-11,0.005
SiriDB,2017-12,0.007
SiriDB,2018-01,0.011
SiriDB,2018-02,0.037
SiriDB,2018-03,0.035
SiriDB,2018-04,0.005
SiriDB,2018-05,0.005
SiriDB,2018-06,0.005
SiriDB,2018-07,0.005
SiriDB,2018-08,0.021
SiriDB,2018-09,0.005
SiriDB,2018-10,0.033
SiriDB,2018-11,0.008
SiriDB,2018-12,0.011
SiriDB,2019-01,0.020
SiriDB,2019-02,0.038
SiriDB,2019-03,0.061
SiriDB,2019-04,0.029
SiriDB,2019-05,0.060
SiriDB,2019-06,0.043
SiriDB,2019-07,0.058
SiriDB,2019-08,0.036
SiriDB,2019-09,0.048
SiriDB,2019-10,0.044
SiriDB,2019-11,0.046
Kinetica,2016-10,0.079
Kinetica,2016-11,0.080
Kinetica,2016-12,0.081
Kinetica,2017-01,0.070
Kinetica,2017-02,0.112
Kinetica,2017-03,0.158
Kinetica,2017-04,0.188
Kinetica,2017-05,0.207
Kinetica,2017-06,0.329
Kinetica,2017-07,0.225
Kinetica,2017-08,0.251
Kinetica,2017-09,0.219
Kinetica,2017-10,0.219
Kinetica,2017-11,0.284
Kinetica,2017-12,0.330
Kinetica,2018-01,0.353
Kinetica,2018-02,0.352
Kinetica,2018-03,0.340
Kinetica,2018-04,0.330
Kinetica,2018-05,0.324
Kinetica,2018-06,0.364
Kinetica,2018-07,0.400
Kinetica,2018-08,0.407
Kinetica,2018-09,0.409
Kinetica,2018-10,0.386
Kinetica,2018-11,0.378
Kinetica,2018-12,0.460
Kinetica,2019-01,0.519
Kinetica,2019-02,0.565
Kinetica,2019-03,0.604
Kinetica,2019-04,0.569
Kinetica,2019-05,0.577
Kinetica,2019-06,0.557
Kinetica,2019-07,0.564
Kinetica,2019-08,0.538
Kinetica,2019-09,0.533
Kinetica,2019-10,0.563
Kinetica,2019-11,0.605
Percona Server for MongoDB,2016-10,0.192
Percona Server for MongoDB,2016-11,0.201
Percona Server for MongoDB,2016-12,0.218
Percona Server for MongoDB,2017-01,0.209
Percona Server for MongoDB,2017-02,0.222
Percona Server for MongoDB,2017-03,0.270
Percona Server for MongoDB,2017-04,0.347
Percona Server for MongoDB,2017-05,0.336
Percona Server for MongoDB,2017-06,0.274
Percona Server for MongoDB,2017-07,0.289
Percona Server for MongoDB,2017-08,0.451
Percona Server for MongoDB,2017-09,0.500
Percona Server for MongoDB,2017-10,0.474
Percona Server for MongoDB,2017-11,0.409
Percona Server for MongoDB,2017-12,0.353
Percona Server for MongoDB,2018-01,0.313
Percona Server for MongoDB,2018-02,0.254
Percona Server for MongoDB,2018-03,0.250
Percona Server for MongoDB,2018-04,0.274
Percona Server for MongoDB,2018-05,0.269
Percona Server for MongoDB,2018-06,0.253
Percona Server for MongoDB,2018-07,0.261
Percona Server for MongoDB,2018-08,0.282
Percona Server for MongoDB,2018-09,0.348
Percona Server for MongoDB,2018-10,0.387
Percona Server for MongoDB,2018-11,0.428
Percona Server for MongoDB,2018-12,0.535
Percona Server for MongoDB,2019-01,0.602
Percona Server for MongoDB,2019-02,0.561
Percona Server for MongoDB,2019-03,0.570
Percona Server for MongoDB,2019-04,0.550
Percona Server for MongoDB,2019-05,0.526
Percona Server for MongoDB,2019-06,0.514
Percona Server for MongoDB,2019-07,0.539
Percona Server for MongoDB,2019-08,0.529
Percona Server for MongoDB,2019-09,0.508
Percona Server for MongoDB,2019-10,0.532
Percona Server for MongoDB,2019-11,0.519
MapR-DB,2016-10,0.154
MapR-DB,2016-11,0.338
MapR-DB,2016-12,0.322
MapR-DB,2017-01,0.344
MapR-DB,2017-02,0.408
MapR-DB,2017-03,0.448
MapR-DB,2017-04,0.522
MapR-DB,2017-05,0.519
MapR-DB,2017-06,0.545
MapR-DB,2017-07,0.506
MapR-DB,2017-08,0.484
MapR-DB,2017-09,0.639
MapR-DB,2017-10,0.816
MapR-DB,2017-11,0.769
MapR-DB,2017-12,0.719
MapR-DB,2018-01,0.677
MapR-DB,2018-02,0.650
MapR-DB,2018-03,0.562
MapR-DB,2018-04,0.556
MapR-DB,2018-05,0.500
MapR-DB,2018-06,0.486
MapR-DB,2018-07,0.612
MapR-DB,2018-08,0.623
MapR-DB,2018-09,0.715
MapR-DB,2018-10,0.611
MapR-DB,2018-11,0.564
MapR-DB,2018-12,0.725
MapR-DB,2019-01,0.756
MapR-DB,2019-02,0.747
MapR-DB,2019-03,0.754
MapR-DB,2019-04,0.736
MapR-DB,2019-05,0.692
MapR-DB,2019-06,0.640
MapR-DB,2019-07,0.640
MapR-DB,2019-08,0.628
MapR-DB,2019-09,0.620
MapR-DB,2019-10,0.620
MapR-DB,2019-11,0.647
IRONdb,2017-10,0.005
IRONdb,2017-11,0.005
IRONdb,2017-12,0.005
IRONdb,2018-01,0.005
IRONdb,2018-02,0.005
IRONdb,2018-03,0.005
IRONdb,2018-04,0.005
IRONdb,2018-05,0.005
IRONdb,2018-06,0.006
IRONdb,2018-07,0.023
IRONdb,2018-08,0.014
IRONdb,2018-09,0.010
IRONdb,2018-10,0.056
IRONdb,2018-11,0.068
IRONdb,2018-12,0.044
IRONdb,2019-01,0.055
IRONdb,2019-02,0.053
IRONdb,2019-03,0.057
IRONdb,2019-04,0.049
IRONdb,2019-05,0.070
IRONdb,2019-06,0.061
IRONdb,2019-07,0.066
IRONdb,2019-08,0.053
IRONdb,2019-09,0.046
IRONdb,2019-10,0.046
IRONdb,2019-11,0.047
GridDB,2016-08,0.005
GridDB,2016-09,0.005
GridDB,2016-10,0.005
GridDB,2016-11,0.005
GridDB,2016-12,0.049
GridDB,2017-01,0.043
GridDB,2017-02,0.074
GridDB,2017-03,0.089
GridDB,2017-04,0.080
GridDB,2017-05,0.094
GridDB,2017-06,0.110
GridDB,2017-07,0.107
GridDB,2017-08,0.084
GridDB,2017-09,0.085
GridDB,2017-10,0.083
GridDB,2017-11,0.074
GridDB,2017-12,0.100
GridDB,2018-01,0.106
GridDB,2018-02,0.109
GridDB,2018-03,0.104
GridDB,2018-04,0.097
GridDB,2018-05,0.084
GridDB,2018-06,0.083
GridDB,2018-07,0.069
GridDB,2018-08,0.069
GridDB,2018-09,0.110
GridDB,2018-10,0.168
GridDB,2018-11,0.197
GridDB,2018-12,0.222
GridDB,2019-01,0.276
GridDB,2019-02,0.368
GridDB,2019-03,0.321
GridDB,2019-04,0.339
GridDB,2019-05,0.363
GridDB,2019-06,0.370
GridDB,2019-07,0.489
GridDB,2019-08,0.485
GridDB,2019-09,0.535
GridDB,2019-10,0.566
GridDB,2019-11,0.558
Yaacomo,2016-09,0.005
Yaacomo,2016-10,0.005
Yaacomo,2016-11,0.005
Yaacomo,2016-12,0.005
Yaacomo,2017-01,0.005
Yaacomo,2017-02,0.005
Yaacomo,2017-03,0.005
Yaacomo,2017-04,0.005
Yaacomo,2017-05,0.005
Yaacomo,2017-06,0.005
Yaacomo,2017-07,0.005
Yaacomo,2017-08,0.005
Yaacomo,2017-09,0.005
Yaacomo,2017-10,0.005
Yaacomo,2017-11,0.005
Yaacomo,2017-12,0.005
Yaacomo,2018-01,0.005
Yaacomo,2018-02,0.005
Yaacomo,2018-03,0.005
Yaacomo,2018-04,0.005
Yaacomo,2018-05,0.005
