name,value,date
Couchbase,3.9810000000000003,2013-02
Couchbase,4.178999999999999,2013-03
Couchbase,5.335,2013-04
Couchbase,6.5760000000000005,2013-05
Couchbase,6.369,2013-06
Couchbase,6.834,2013-07
Couchbase,7.005,2013-08
Couchbase,7.795,2013-09
Couchbase,7.316,2013-10
Couchbase,7.268,2013-11
Couchbase,10.017000000000001,2013-12
Couchbase,10.109,2014-01
Couchbase,11.061,2014-02
Couchbase,11.828,2014-03
Couchbase,12.925,2014-04
Couchbase,14.057,2014-05
Couchbase,15.786,2014-06
Couchbase,16.581,2014-07
Couchbase,17.543,2014-08
Couchbase,19.669,2014-09
Couchbase,19.998,2014-10
Couchbase,21.497,2014-11
Couchbase,21.342,2014-12
Couchbase,22.588,2015-01
Couchbase,22.930999999999997,2015-02
Couchbase,23.174,2015-03
Couchbase,25.565,2015-04
Couchbase,25.236,2015-05
Couchbase,24.953000000000003,2015-06
Couchbase,26.276999999999997,2015-07
Couchbase,26.162,2015-08
Couchbase,26.250999999999998,2015-09
Couchbase,26.191,2015-10
Couchbase,25.822,2015-11
Couchbase,26.259,2015-12
Couchbase,26.085,2016-01
Couchbase,25.391,2016-02
Couchbase,25.798000000000002,2016-03
Couchbase,25.015,2016-04
Couchbase,24.29,2016-05
Couchbase,25.305,2016-06
Couchbase,25.976,2016-07
Couchbase,27.4,2016-08
Couchbase,28.535,2016-09
Couchbase,29.303,2016-10
Couchbase,29.053,2016-11
Couchbase,29.728,2016-12
Couchbase,30.22,2017-01
Couchbase,31.177,2017-02
Couchbase,30.041,2017-03
Couchbase,30.811,2017-04
Couchbase,32.253,2017-05
Couchbase,31.916999999999998,2017-06
Couchbase,33.018,2017-07
Couchbase,32.965,2017-08
Couchbase,33.107,2017-09
Couchbase,33.364000000000004,2017-10
Couchbase,32.317,2017-11
Couchbase,31.311,2017-12
Couchbase,31.428,2018-01
Couchbase,31.750999999999998,2018-02
Couchbase,32.899,2018-03
Couchbase,32.338,2018-04
Couchbase,32.409,2018-05
Couchbase,32.452,2018-06
Couchbase,33.074,2018-07
Couchbase,32.955999999999996,2018-08
Couchbase,34.548,2018-09
Couchbase,35.916,2018-10
Couchbase,34.853,2018-11
Couchbase,35.589,2018-12
Couchbase,34.593,2019-01
Couchbase,35.577,2019-02
Couchbase,33.798,2019-03
Couchbase,36.283,2019-04
Couchbase,34.672,2019-05
