"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"安提瓜和巴布达","ATG","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459469058.888889","481706333.333333","499281148.148148","535172777.777778","589429592.592593","577280740.740741","633730629.62963","680617111.111111","727860592.592593","766198925.925926","830158777.777778","800740259.259259","814615333.333333","855643111.111111","919577148.148148","1022191296.2963","1157005444.44444","1311401333.33333","1368431037.03704","1224253000","1152469074.07407","1142042925.92593","1211411703.7037","1192919629.62963","1275576777.77778","1359194740.74074","1464630213.33333","1510084750.74074","1623804016.2963","",
"澳大利亚","AUS","GDP（现价美元）","NY.GDP.MKTP.CD","18577668271.9229","19653936611.0427","19892485160.7123","21507447642.5132","23764139321.3126","25937954978.161","27268451114.3465","30397580916.116","32665472057.3412","36628961809.8331","41271138985.3287","45149512823.3845","51967289719.6262","63738629083.9206","88831245394.252","97171924074.8327","104921215177.108","110201881165.405","118339724791.338","134712029989.776","149776044568.245","176643445953.791","193771378130.862","177030416471.689","193242166274.226","180235483623.533","182038332400.672","189059025939.651","235660651920.838","299263903590.913","310774913428.242","325306490856.291","324873490732.908","311539488476.672","322208924247.665","367216364716.365","400302731411.229","434568007512.913","398899138574.239","388608221581.652","415222633925.768","378376086723.194","394648911678.526","466488060570.763","612490396927.017","693407758231.845","746054207846.661","853099630996.31","1053995523724.26","927805183330.879","1146138465603.81","1396649906339.35","1546151783872.96","1576184467015.49","1467483705131.74","1351520093185.79","1210028388411.7","1330803227996.08","1432195178668.32","",
"奥地利","AUT","GDP（现价美元）","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15373005768.7219","17858485956.6031","22059612417.4058","29515467987.912","35189299985.2768","40059206763.056","42959976068.1138","51545759220.7143","62052258694.2102","73937296654.6577","82058912465.4329","71034228097.4598","71275287327.5793","72121016623.2572","67985345161.9558","69386774474.5943","99036165209.5539","124168442860.253","133339397080.129","133105805928.237","166463386663.439","173794177725.398","195078126346.106","190379720927.481","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217185787342.851","196799778883.361","197337879194.631","213377771503.858","261695778781.038","300904221504.842","315974418604.651","335998557270.104","388691445387.353","430294287388.311","400172297860.517","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441996131736.508","381805676697.707","394052818287.788","416835975862.194","455736580716.185","",
"阿塞拜疆","AZE","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006035.91566","8792365810.5094","4991350457.5425","3970953395.51544","3313939553.5418","3052467522.36104","3176703092.30412","3962735257.21455","4446370371.15023","4581246713.32066","5272617196.04517","5707720390.8515","6235856819.58445","7276013031.96905","8680370408.05943","13245716099.0057","20982986344.3027","33050343782.7759","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","69683935845.2138","74164435946.4627","75244294275.1498","53074468085.1064","37867518957.1975","40865558912.3867","46939529411.7647","",
"布隆迪","BDI","GDP（现价美元）","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.883137","876794723.068586","825394490.159111","784654423.620476","915257323.3961","1117113045.65222","1273375020.26862","1356199364.85882","1611835901.9063","1781455092.07114","2032135246.50004","2235820867.82743","2333308099.46249","2451625332.74584","2705783272.07443","3104394858.11518","2959185295.39019","3172416146.3921","3078029929.10347","",
"比利时","BEL","GDP（现价美元）","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26849148285.599","29981290025.4913","37408591329.8506","47999363071.8278","56333010459.8177","66029748930.5693","71494539498.4326","83283328418.6832","101788475086.461","116938066868.465","127508202372.741","105290614080.834","92588895020.3073","87650915976.3314","83795680815.4147","86730038793.3963","120661220335.922","150194077687.736","163167853538.124","165100094594.595","206430841501.69","211637816538.689","236038384441.656","225924679920.709","246194938750.904","289567323481.117","281358175895.766","254813599458.728","260601911535.897","260202429149.798","237904919845.218","237841968680.09","258860436664.784","319002821670.429","370885026074","387365750528.541","409813197842.178","471821105940.323","518625897172.99","484552792442.345","483548031197.108","527008453886.929","497884216568.867","520925468952.938","530808391525.11","455940347170.37","469677213719.194","494901708704.269","531766935070.733","",
"贝宁","BEN","GDP（现价美元）","NY.GDP.MKTP.CD","226195579.35701","235668222.429984","236434906.75427","253927646.475909","269818988.259263","289908720.648622","302925280.773564","306222000.407316","326323097.355964","330748211.459737","333627758.154666","335072975.215766","410331900.950531","504376035.716401","554654786.965107","676870140.341529","698408244.385343","750049739.152238","928843304.783965","1186231265.18417","1405251547.23882","1291119965.11262","1267778489.03079","1095348302.91865","1051133927.00009","1045712703.02696","1336102040.71025","1562412030.34838","1620246187.15171","1502294411.46202","1959965243.76269","1986437859.90346","1695315305.70308","2274557914.07481","1598075932.35432","2169627250.93379","2361116587.86079","2268301537.65128","2455092582.30927","2689787917.50711","2569186642.86999","2680213931.46472","3054571081.6912","3905366187.87017","4521424807.22519","4803702821.08056","5142380779.44103","5969535131.58016","7132787396.66547","7097198711.61023","6970240895.49888","7814081155.64988","8152554487.31321","9157355679.70205","9707432015.61441","8291155880.59505","8573159696.61128","9246696923.66155","10358985583.235","",
"布基纳法索","BFA","GDP（现价美元）","NY.GDP.MKTP.CD","330442817.168859","350247237.11684","379567178.256898","394040749.12567","410321785.631059","422916848.424208","433889831.584706","450753993.176448","460442864.205949","478298781.545658","458404330.125096","482411278.982439","578595583.975723","674773821.151416","751133642.647461","939972703.463021","976547572.215824","1131225278.77773","1475584037.28156","1748480982.18517","1928720390.28869","1775842679.94056","1754450379.2077","1600278756.43589","1459880352.6483","1552493413.98989","2036303381.20142","2369835438.62393","2616040645.87263","2615588545.68629","3101301780.95067","3135045684.1006","2240264711.54816","2332018010.55341","1895290964.80829","2379518099.2266","2586550747.09844","2447669403.89018","2804902723.73145","2993753187.09677","2628920056.10098","2812845513.57125","3205592289.79773","4205691222.11396","4838551099.70985","5462709498.45119","5816310157.71765","6771277870.96412","8369637065.40255","8369175126.25316","8979966766.07232","10724063457.8326","11166063466.5623","11947176341.9966","12377391462.6377","10419303761.3524","10886363726.8422","12322864244.9183","14441763758.6919","",
"孟加拉国","BGD","GDP（现价美元）","NY.GDP.MKTP.CD","4274893913.49536","4817580183.60155","5081413339.78635","5319458351.16235","5386054619.34987","5906636557.00092","6439687598.32325","7253575399.3215","7483685473.51275","8471006100.95399","8992721809.39332","8751842839.79658","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005760.3486","28781714763.8012","31598341233.559","30957483949.5798","31708874594.1645","33166519417.9894","33768660882.793","37939748768.6567","46438484107.5795","48244309133.4895","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078678697.23","221415188000.475","249723862487.361","274024958965.892","",
"保加利亚","BGR","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10829710144.9275","9697416974.16974","18867559523.8095","12184935356.9421","11211546465.3071","14942172233.5833","13531969309.4629","13153016530.8718","14075616789.4905","16276456427.5397","20982685981.4163","25957970922.4811","29636617749.8253","34130122490.8613","44411476557.0329","54409138498.3548","51884481410.3931","50610058210.3696","57418414504.0882","53903022339.0276","55555171009.772","56814543481.2102","50201314894.5817","53240950226.2443","58220973782.7715","65132951116.4756","",
"巴林","BHR","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698328.46909","3467819148.93617","3645744680.85106","3735106382.97872","3905585106.38298","3651861702.12766","3052393617.02128","3392021010.6383","3702393617.02128","3863563829.78723","4229787234.04255","4616223404.25532","4751063829.78723","5200265957.44681","5567553457.44681","5849467819.14894","6101861436.17021","6349202393.61702","6183776595.74468","6621010372.34043","9062906914.89362","8976207712.76596","9632155053.19149","11074822074.4681","13150166755.3191","15968726861.7021","18505053191.4894","21730000000","25710877659.5745","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539547872.3404","33387712765.9575","31125851063.8298","32250132978.7234","35432686170.2128","37746196808.5106","",
"巴哈马","BHS","GDP（现价美元）","NY.GDP.MKTP.CD","169803921.568627","190098039.215686","212254901.960784","237745098.039216","266666666.666667","300392156.862745","340000000","390196078.431373","444901960.784314","528137254.901961","538423153.692615","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10627600000","10957300000","11792300000","11838800000","12162100000","","",
"波斯尼亚和黑塞哥维那","BIH","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.73666","2786045321.63743","3671816504.23851","4116699437.4041","4685733115.46841","5505887894.48893","5748993411.42021","6651106833.49374","8369878822.85055","10596205714.2857","11222953519.4252","12864610993.5219","15778767669.6991","19112739664.4697","17613836209.9581","17176781336.7644","18644723860.9709","17226849297.07","18178503835.4491","18558343508.3435","16211541253.1897","16913330693.9653","18080118128.3854","19781776101.3881","",
"白俄罗斯","BLR","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","18000000000","17037037037.037","16280991735.5372","14932024169.1843","13972676840.918","14756846153.8462","14128408565.7064","15222012660.4232","12138486532.0203","12736856827.9847","12354820143.8849","14594249022.8922","17827791321.3067","23144351851.8519","30207567316.6202","36954312354.3124","45277399813.6067","60763483146.0674","50874078052.2735","58665088956.0255","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47722657820.6675","54726595249.1849","59662495092.2654","",
"伯利兹","BLZ","GDP（现价美元）","NY.GDP.MKTP.CD","28071888.5622288","29964370.7125857","31856922.8615428","33749405.0118998","36193826.1234775","40069930.0699301","44405594.4055944","47379310.3448276","44910179.6407186","47305389.2215569","53233532.9341317","59207317.0731707","66062500","78343558.2822086","103216374.269006","118066298.342541","96905829.5964126","117650000","136300000","151800000","197938222.429283","196089854.656347","182206326.985709","192103185.955321","214381949.01938","212643742.664706","231638320.535566","281082558.5859","320093360.27245","369133890.704745","412086445.492177","444720750","518239100","559858250","580863700","620140400","641383800","654314350","688992450","732732350","832072450","871860600","932551850","990374050","1057845500","1114202700","1217442150","1290542550","1368625150","1335217500","1396731700","1486595750","1563827850","1608442150","1692955750","1762500450","1806646250","1862614800","1925000000","",
"百慕大","BMU","GDP（现价美元）","NY.GDP.MKTP.CD","84466654.0801544","89249986.7007156","94149985.9705588","96366652.3069165","107566650.637987","114339048.962736","134173373.782802","155102984.621576","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634899968","1679900032","1820359936","1867160064","2030749952","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","5414299000","5895048000","6109928000","5806378000","5744414000","5550771000","5537537000","5573710000","","","","","","",
"玻利维亚","BOL","GDP（现价美元）","NY.GDP.MKTP.CD","373879363.595386","406684585.719294","444665186.397102","478805990.083307","539491477.320156","604377104.377104","669191919.191919","755808080.808081","857912457.912458","929629629.629629","1017003367.00337","1095622895.6229","1257615644.97932","1262968515.74213","2100249875.06247","2404697651.17441","2731984007.996","3227436281.85907","3758220889.55522","4421343606.18135","4526916802.61011","5872756933.11582","5587490264.8127","5422440961.87886","6169501037.97622","5377277406.71638","3958338883.22338","4323623622.1622","4597615562.66594","4715978868.21613","4867582620.20708","5343274311.56789","5643893347.00679","5734676560.92471","5981244886.917","6715220507.05164","7396966657.47054","7925673448.41368","8497545598.08352","8285075872.27307","8397912509.09679","8141537937.61068","7905485216.17852","8082364868.39357","8773451738.91129","9549077869.1065","11451869164.7112","13120183156.7149","16674324634.2373","17339992165.2422","19649631450.6819","23963033588.0063","27084497539.7974","30659338784.3705","32996188133.1404","33000198263.3864","33941126193.9219","37508642257.5977","40287647756.8741","",
"巴西","BRA","GDP（现价美元）","NY.GDP.MKTP.CD","15165569912.5199","15236854859.469","19926293839.0163","23021477292.2093","21211892259.9904","21790035117.19","27062716577.9111","30591834053.9653","33875881876.3672","37458898243.8609","42327600098.2412","49204456700.4516","58539008786.3684","79279057730.829","105136007528.76","123709376567.89","152678020452.829","176171284311.761","200800891870.164","224969488835.181","235024598983.261","263561088977.129","281682304161.041","203304515490.795","209023912696.839","222942790435.299","268137224729.722","294084112392.66","330397381998.489","425595310000","461951782000","602860000000","400599250000","437798577639.752","558111997497.263","769305386182.849","850426432991.742","883199625324.675","863723411632.917","599388579985.673","655420645476.906","559372276081.966","507962487700.024","558319920831.979","669316654017.094","891630177251.068","1107640289615.23","1397084349956.35","1695824565983.2","1667019783585.08","2208871646202.82","2616201578192.25","2465188674415.03","2472806456101.29","2455994050148.75","1802214373741.32","1796275437087.99","2053594973992.61","1868626087908.48","",
"巴巴多斯","BRB","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","311809337.474355","402178605.019554","435911268.58968","495097667.929041","552883707.055138","670362452.145379","860388803.261572","946949734.002884","989409834.43544","1050514592.55208","1144931139.06429","1198329438.67151","1315616765.27619","1448714761.59698","1540893949.18709","1703972555.06389","2023318251.8769","2007109829.46353","1950900000","2046189031.96937","2151295182.22045","2261969870.23318","2411872918.01323","2549296474.91672","2874459304.92716","3012081738.17929","3121500000","3116650000","3169600000","3274850000","3514350000","3897300000","4176500000","4672250000","4782000000","4479950000","4529900000","4660900000","4656350000","4612500000","4608350000","4584150000","4529050000","4673500000","","",
"文莱达鲁萨兰国","BRN","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","114040245.655299","132758395.400497","139030445.576898","160819286.554292","161211289.690318","179080099.307461","197523179.241883","270818555.823521","433092003.579273","1073577085.64159","1168304305.65513","1423061356.64562","1732721160.94122","1941600703.60598","2803780005.51826","4928824957.9675","4366213849.57637","4264252336.4486","3844723142.45149","3782523088.4628","3523612563.06532","2358592817.12134","2754463437.79677","2690717551.18267","2985467979.28524","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531402847.87311","11470703002.0769","12247694247.2298","14393099068.5859","10732366286.2643","13707370737.0737","18525319977.7407","19048495518.5659","18093829923.2737","17098342541.4365","12930394937.8137","11400653949.1783","12128088999.9276","13567099497.8279","",
"不丹","BTN","GDP（现价美元）","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","135653295.165394","146391639.722864","148934334.038055","165585940.594059","169264991.197183","172217502.021019","201375725.614592","253182453.703704","283855833.333333","275949889.09427","299787275.842376","250045839.929639","250794359.567901","235239570.350935","270801565.189672","303053462.843047","316420860.852385","365964500.137703","376955087.251575","419035810.496981","439158233.199822","476360697.181606","537050133.717342","622026107.771576","702682018.976169","818869145.124717","897731524.929922","1196091805.02316","1258332337.28382","1264758197.96593","1585472534.10547","1820207625.80217","1823692109.61652","1798333725.83954","1976938529.72743","2059809919.89325","2219675780.89539","2528007911.35353","2534965162.78084","",
"博茨瓦纳","BWA","GDP（现价美元）","NY.GDP.MKTP.CD","30412308.9864012","32902336.644746","35643207.6265246","38091150.566196","41613969.0506064","45790869.7473126","51464435.1464435","58646443.5146444","66248256.6248257","77356914.0788191","96245114.4611949","126957494.407159","165258093.875959","244129088.027662","306033848.417954","355172413.793103","372010119.595216","451603325.415677","590376720.598889","819877300.613497","1060923829.13021","1073861599.13948","1014907254.54016","1172258182.14969","1240796364.75662","1114764007.14811","1392634771.9653","1965274882.36345","2644536804.11244","3083800684.89751","3790567051.86778","3942792837.35655","4146513722.33019","4160086253.1468","4259330999.03151","4730611067.02258","4847752842.78924","5020214747.45261","4790458837.17078","5484257417.17845","5788329609.15755","5489608299.66445","5438857106.73536","7511582173.37724","8957467706.5354","9931134940.51346","10126940513.3125","10939053365.4786","10945070441.9283","10267133177.7334","12786654365.8738","15351972229.5341","16067155187.0375","14901750764.9811","16250750259.0212","14420604205.7459","15646323340.5497","17406565823.2986","18616018903.4434","",
"中非共和国","CAF","GDP（现价美元）","NY.GDP.MKTP.CD","112155598.949571","123134584.467673","124482748.937917","129379097.888958","142025069.461676","150574816.300764","157930041.875883","163820538.867947","191767436.956884","188039191.323608","189106554.521277","201450768.367553","230317908.038643","271183061.359635","281398668.160613","378660016.265936","451152449.984411","507298120.68315","610578523.761178","700764892.704831","797048028.773247","694803502.722356","748312283.726758","658679394.907969","637820620.670195","864849765.059664","1122265026.38274","1200991825.95398","1264899368.20165","1233930277.04922","1440711395.67069","1377375030.52921","1411917558.45855","1278781166.72188","851174350.649409","1115389731.79119","1007791186.20106","937741468.029676","967338348.658314","999477510.686632","914500299.097034","931833302.752857","991387870.12463","1139754799.16304","1270080250.65268","1337362392.15225","1460561215.4447","1697565948.65323","1985240986.18508","2059094048.26019","2140503193.16261","2434792412.50855","2510270267.72918","1700627479.55631","1904794555.18138","1709221159.20294","1844714794.83758","2167501639.76783","2379716827.4977","",
"加拿大","CAN","GDP（现价美元）","NY.GDP.MKTP.CD","","41555987614.79","42868091992.7502","45713151050.4928","50126643039.3997","55342244542.8855","62015172913.0879","66664932950.7379","72919560567.0802","80349194243.7218","87896095224.4234","99271961477.5203","113082820992.019","131321859214.079","160408697648.262","173834029787.652","206575564401.623","211612156934.65","218632867449.812","243072102185.419","273853826377.01","306214863624.99","313506525087.136","340547711781.889","355372558103.621","364756499450.751","377437927311.983","431316742081.448","507354351182.254","565055743243.243","593929550908.468","610328183643.188","592387689252.916","577170761956.438","578139279437.61","604031623433.401","628546387972.131","652823920265.781","631813279406.808","676084000807.7","742295468318.632","736379777892.562","757950678646.53","892382413817.715","1023196771714.07","1169357979864.66","1315415197461.21","1464977190205.75","1549131208997.19","1371153004986.44","1613542812589.39","1789140665202.84","1823966686523.63","1842018420853.1","1801480123070.82","1552899925233.71","1526705529135.32","1646867220617.47","1712510030034.05","",
