comment
依旧跨时代，Jay时代没有过去
为啥取景要在东京  国内找不到更好的？ 杰哥
好听，歌词写得真好
最喜欢的歌手，从初2那年的龙卷风开始。。。
不管怎么说，其实我还爱你。
96年的社畜，为了周杰伦开的绿钻，我觉得太值得了，这是我成长的旋律啊😭
喜欢周杰伦了很久，今天第一次真正意义上买他的歌听，整首歌下来，心里没有起涟漪，只有一句歌词：你什么都没有还支持我的梦想，让我心里有了波动！！！周董，你是回不来了吗？
评论一万八不科学
上头了，越听越喜欢
不要只知道喝奶茶 出出专辑嘛
我觉着吧，这首歌一般 要不是周董要养家糊口。这样的歌一天能写10首出来
杰伦结婚后就不出专辑了 哎 不要眼里只有家庭 想想我们这些爱你的歌迷吧
你好久出专辑啊 等两年了
毫无新意。
周董承载了我的童年
很多时候错过就没有回头了 并不是没有勇气去买单 只是残留的影子难以抹去 只求能得到偶尔讯息却难于登天 太多情感真的不能用言语去表述
从小听周杰伦的歌长大，他带我在音乐中寻找快乐，爱你😘
不论过多久，等你的歌，等我们的青春再次响起回忆的进行曲，钢琴声起，过去在泪光中清晰，青春不随意愿不能挽留，我找不到驻足的理由，而你却是我回去的唯一借口。
从来都是听杰伦的歌曲长大的，是他给我音乐中的快乐，我爱你周董❤️
8月16号认识，9月16号晚上她打电话对我说她还是习惯一个人无拘无束的生活，《说好不哭》为什么偏偏要在这个时候发布，杰伦你太狠心了，每次听总要躲到角落默默流泪，她说了她会开心地过自己想要的生活，让我也开开心心地继续生活，生命中每个遇见都是最好的，我们会说好不哭！！
好听😍
谢谢青春😭
第一次买一首歌，知道我有多爱你吗？小公举。🌹🌹🌹🌹
听着听着不知不觉快30了，也该考虑找个对象了😰
他娘滴~！为了能好好听歌，非得买个年会才行，谁叫出道即巅峰呢。
他是歌手他是演员他是导演他是原创音乐人他是词曲创作人他是音乐制作人他非常的善良，他在当时的2008年汶川大地震捐了4200万他非常的有爱心，他经常关爱小动物他非常的有才华他是世界十大鬼才之一；他唱歌非常好听他是“亚洲天王”他非常的爱粉丝，回家路上和粉丝说注意安全他非常的坚强演唱会上带病还又唱又跳的他就是我们的周杰伦
粉丝都上年纪了，没功夫在网上跟黑粉撕。我支持我的，你黑你的。
👀我想要蹬蹬登骂我的不停的声音。周杰伦穷鬼。听一次3块。撒比周杰伦
你知道吗？周董…多少人为了你开通了QQ音乐的绿砖多少人在你的新歌发布之前不换网名不改个性签名不换头像多少人为了你等到什么时候都愿意你是多少人的青春你是多少人的偶像你是多少人的期盼你是多少人愿意守护的人你又是多少人的希望又有多少人一直爱着你又有多少人一直等着你无论别人是谁无论别人喜欢谁我不管……我喜欢的是，周杰伦
