,mayili_comment
133,分手是必然，就相貌上看小气的蚊子哪儿配的上我们高端大气的马儿 
134,娱乐圈，唉！ 
135,你值得拥有更好的* 
136,且行且珍惜 往后 各生欢喜 
137,认真的吗！！！！ 
138,聪慧有修为的马伊琍你值得拥有更好的人生！🙏 
139,辛苦了 
140,伊琍姐，关注你好久了，一直特别喜欢你，觉得你特别的真实，不做作 
141,会更好的👌 
142,你一定会遇到贺函一样的男人 
143,一别两宽，给生欢喜 
144,祝福你幸福 
145,各自安好，也希望以后能够幸福下去 
146,好可惜   但是还是希望你们都能幸福 
147,我的女神 马伊琍 加油 你值得被爱 值得更好的 我爱你❤️ 
148,你值得拥有更好的！继续一路前行，成就更好的自己。 
149,向南啊向南 说啥好呢！！！ 
150,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
151,马老师，你会遇到像贺函一样的男人 
152,看到这消息，在办公室里莫名哭得一塌糊涂，感慨爱情，婚姻，孩子，选择，余生！女人好好赚钱，你才有选择权，不然，结婚了，连婚都离不起！永远支持你！ 
153,这么突然，祝幸福 
154, 
155,破镜难重圆，扎心的刺始终要拔出，往后余生，各生欢喜。 
156,美丽的你，以后一定要好好的！笔心 
157,那么那么喜欢你，愿以后的路上遇到合适的那个人。 
158,本来那个小男人也配不上你 
159,终于 各自安好 
160,以后的你会更好 
161,回复@赵天天:秀 
162,五年前的决定是错误的 
163,加油 
164,就是这么洒脱，好喜欢你！ 
165,前半生结束了，后半生一定要好好的，真是现实版的罗子君啊。加油！ 
166,好聚好散 
167,一定要好好的，往下了就往前看。 
168,此情有憾💔 
169,此情有憾💔 
170,有些裂痕一旦产生是弥合不了的。  甩掉过去，骄傲地向前走吧 
171,好心疼😔 
172,祝幸福 
173,回复@赵天天:玩尬? 
174,祝福你，余生安康快乐。 
175,为你点赞！愿你以后天是晴朗的天，路是阳光大道。🌹🌹🌹 
176,早该分了，那样的小男人配不上你 
177,秀了我一脸 
178,离了就离了。期待你和孩子们有更好的生活！默默㊗️福 
179,愿能有新的幸福 
180,各生欢喜，加油！！！ 
181,你要好好的哦 
182,回复@潘潘潘潘潘-Y:8 
183,离的好，我今年28岁，小时候看《奋斗》开始就很喜欢你，我觉得你很伟大了，做自己无需在乎闲言碎语，人生很短，你的后半生希望找到属于你的贺函@马伊琍 
184,看到这个消息实在没忍住哭了。 
185,心都不在你这了，要人有什么用！离了好！！！ 
186,马伊琍，依旧爱你👄愿你往后余生越来越好。 
187,马伊琍，依旧爱你👄愿你往后余生越来越好。 
188,要幸福 
189,祝幸福 
190,看来一方的且行且珍惜换不来对方的欢喜！ 
191,回复@金小姐很霸气:这两天只要上微博看到这个话题，心里莫名的难受，可是，想想，可能马伊琍现在才是精彩人生的开始，我应该替她感到高兴！我只是一个小小的，喜欢了马伊琍很多年的粉丝，虽然我说的话她不一定能看到，但我还是衷心的祝福，祝福马伊琍以后的生活多姿多彩开开心心，女儿还会在一个有爱的环境下长大！ 
192,终究还是太年轻 
193,盼复婚 
194,细节打败一切 
195,且行且珍惜 
196,只要你日后可以欢喜，我们便安心 
197,祝你幸福 
198,从高中到大学再到研究生，一直关注你们，伊琍姐可以的 
199,我担心的是剃刀边缘2 
200,此情有憾 然无对错 各生欢喜 你是最好的马伊琍 
201,女神 
202,哎 
203,女神加油 你值得更好的 
204,不相信爱情了 
205,祝福你，值得拥有更好的 
206,加油一定会找到那个深爱你对你不离不弃的那个人的 
207,真的，一直想说，你值得更好的！不管是不是单着，都希望你快乐！ 
208,永远爱你！加油！明天会更好！ 
209,天下有情人终成眷属怎么就那么难？好不容易在一起了为什么就不能一直到底呢？ 
210,加油吧！有两个宝贝陪着你，是你最大的动力，也是你的幸福快乐！有能力照顾好孩子，男人没什么用。只是，自己要辛苦点了。 
211,真的很喜欢你的每一部作品 
212,你我深聊过，努力过，户型图发过。价格报过，虽无结果，然无对错。往后，只要买房记得找我。 
213,所以昨晚四大女神聚会？ 
214,当婚姻实在不能维系，真不如各自放过！一别两宽，各生欢喜！ 
