,wenzhang_comment
109,吾爱两位，同行半路，一别两宽，余生慢慢，愿兄姐各自安好！ 
110,一步走错终身错，永远没有后悔药 
111,真实就好 
112,回复@Cerambycidae_:明明这么煽情的回忆 
113,从他的眼神能读懂他真实的内心，不管是未火时的强颜欢笑，还是大火时的放肆坦然，再或是事件后落寞无奈，文章是一位出色的演员和导演，有自己独特的视角去展现艺术的世界，若非公众人物，他们会走的更远，无奈强大的社会舆论让他举步维艰，放下过去勿眼相待，给一个机会，文章会创造出更大的舞台🙏 
114,华为妥妥大赢家 
115,加油 
116, 
117,回复@你老公叫仙洋么:@你老公叫仙洋么 捉 
118,在我眼里 你是演技最好的演员之一 加油 文章 
119,回复@你老公叫仙洋么:我又来了 
120,回复@你老公叫仙洋么:洋 
121,回复@经邦股权咨询梁老师13818531982:啧啧啧！一概而论 
122,"""钟于爱情 忠于岁月  衷与责任  终于圆满"" ​​​​ "
123,或许 那件事还是过不去的坎 望未来一切好起来 期待新作品 
124,为何不是周一见 
125,哎 曾經的美好如今已破碎 
126,破镜难重圆 
127,回复@你老公叫仙洋么:同 
128,还是有点难过 
129,各自安好 
130,心疼马伊琍 
131,高估了你 
132,既然爱她，为什么要离？难过…… 
133,加油 
134,多好的一个女人，多好的孩子们 
135,哎，难过…… 
136, 
137,遗憾！！！我的偶像 
138,。 
139,喜欢文章，喜欢马伊琍，可是更喜欢原来那个充满灵气的文章。我觉得文章压抑太久了。不爱就是不爱了，放手才是最好的尊重。加油吧文章。重新做自己。希望看到你新的作品。 
140,终究还是这个结局。 
141,好可惜 
142,？ 
143,为什么背景看起来这么乱呀， 
144,一声叹息？ 
145,永远支持你 
146,
147,各自安好 
148,赶紧找一个真正心爱的人，人这一辈子不容易，尊重自己的内心最重要！ 
149,你应该有属于你的幸福！走自己的路！ 
150,就这样分啦  一对我比较认可的模范夫妻    彼此也都深爱过   如果彼此间出现隔阂  出现不信任那真的这段感情也宣告着即将结束。  俩个人谁都没有错错的是不在幸福和甜蜜。  愿彼此各自安好  给彼此最后的温柔 .尽管如此我依旧向往真爱 
151,有些事情不是自己可以控制的，感情没有对错。 
152,回复@你老公叫仙洋么:我洋  上去 
153,砒霜终归是砒霜 
154,支持你，加油 
155,哎 
156,你拍的戏都很好。慢慢加油 
157,唉。 
158,果然飘了的男人还是不能走到最后 
159,等待你俩和好 
160,可惜了，苦了孩子 
161,加油 
162,加油(ง •̀_•́)ง 
163, 
164,回复@电動马达哟:怕了，难以在信爱情🐱 
165,往后余生好好拍戏， 
166,回复@尐果果413:所谓的誓言不过是内心的自我安慰罢了 
167,破镜难重圆 珍惜眼前人❤️ 
