content,gender,userlevel,score,ticket
和浦松龄一样的素材，都是神话故事，不一样的是这次成龙是配角。但是新人表现出的效果一般。万事开头难，希望成龙能培养出更多的新人。,0,2,8,0
成龙只是友情出演,1,2,6,1
成龙主演的，龙的精神长存，确是好片,2,3,8,0
怎么下架了，还没看呢,0,3,5,0
喜欢看陈成龙的拍戏,2,2,10,0
我错过了这部电影,1,2,10,0
整体勉强及格吧，槽点有点多,1,1,6,1
期望太大了，反而觉得没有那么好看啦,2,2,10,0
这么好看的电影，为什么评分这么低,0,2,10,0
非常满意，值得观看！,1,3,10,0
真的不值得看,0,2,1,0
说实话公主成兰姚星彤表演的还是可缺可点的，毕竟一人分演两个角色尤其将反派，从效果来看，整个剧情感觉就如东凑西拼的，太拖沓，而且前期在俄罗斯拍摄的感觉就是一部西方电影，东西结合的电影感觉有些不伦不类的。前期宣传的太劲爆了，各种明星尤其有成龙大哥压阵，但是这绝对是部商业片，没有预期效果，除了特效外和演员突出其他没有什么突出的地方。再说剧情，拿着龙王作为噱头，再加上魔法师本来可以做的更好，但是看完后确实没有想象中的那么好，这也是为什么影院拍片少的原因，甚至有的城市上映一周就下院的原因了！希望成龙大哥能拍出更经典的影片而不是为了金钱会影响整个演绎人生的。,1,4,7,0
挺好的就是成龙戏份太少了。,1,2,8,0
剧情很魔幻，很吸引。但是我还是想看龙叔…,1,3,6,1
哇，成龙大哥和“终结者”施迈辛格二位顶级超级巨星能PK 的大片，终于等到他们的来一场东方和西方的“龙”与“机器人”的对决！,1,5,10,0
施瓦辛格这辈子最后后悔的事就是这部片子上面有他的名字,1,2,1,0
很不错，成龙大哥的电影就是好。,0,4,10,0
挺好看的，支持成龙,0,2,10,0
全部是特效 一点剧情都没有 垃圾 像动作片又不是动作片 像科幻动画片又不是科幻动画片 像搞笑片又不是搞笑片 一言难尽 小孩子当搞笑的科幻动画看看算了,2,3,3,0
确实不好看，全程都在玩手机，打斗场景太少，也不过瘾,2,3,6,1
超赞   3D效果特别好  要看的话最好去巨幕厅看   效果特棒   不好的一点就是成龙不是主角成龙只在最开始时候和最后出现一段时间出现  女主是姚星彤，李彧也在里面特别搞笑还有玛丽,1,3,10,0
挺好看的！比较惊险！,0,3,10,0
感觉受骗了，大哥的电影一部不如一部，这部干脆打酱油。内容乱七八糟，古代也叫中国嘛,1,4,5,1
有场景，无内容,0,2,2,0
4个姚星彤对打  很燃很好看 可谓用心良苦 为期半年的训练是值得的 为你鼓掌喝彩 🥳🥳🥳,2,4,10,0
史上最假，最难看的电影就是这部了。浪费我的时间，花的钱也不值。,0,3,1,0
成龙老了，也出来骗人了，说是主演，却像客串。以前成龙的片子看了又看，现在成龙出的新片根本不去看了。,0,4,1,0
。。。。烂的不行。。。,0,2,1,0
外国人拍的儿童剧 很美好 就是里面的朝代交代不清楚 士兵穿的是明朝军服  百姓是清朝的  反正是可以当做儿童喜剧去品鉴吧,1,3,5,1
非常不错的电影！,1,2,10,0
剧情不是很好,0,2,5,0
好看不好意思的也要吃羊肉泡馍,2,1,10,0
龙叔。怎么说呢。还行吧,1,2,6,1
超级好看的电影,2,5,10,0
垃圾，不想多说。,1,3,1,0
一有成龙就不会好看,1,4,1,0
总体来说还可以,2,2,6,1
马丽好看，不过丽姐好像胖了,1,6,8,0
我看了特好 邪不压正嘛 就是不卖座啊,0,5,10,0
不错，值得一看,1,4,10,0
好还行还行吧,0,4,8,0
唯一的看点就是成龙和阿诺了，其他的没法看,1,4,3,0
还行，没有想象中那么好看,1,1,8,0
全程一点都没有看懂演的啥感觉有一个上集给你一分不要骄傲,0,2,1,0
只为大哥而来,0,2,10,0
这是一部集动作和奇幻元素为一体的，中外合资的国际大片。同时也是成龙和阿诺施瓦辛格对打的动作大片。尽管看过的观众可能会觉得，他们的对打只是一个噱头，又或者说他们的动作戏的精彩程度早已经不复当年。但是这部电影本身还是有它很多精彩的内涵的。其实“龙女郎“姚星彤才是绝对的女主角，而更重要的是，其中还有一大帮的外国友人。逃亡的公主，异国的王公，神秘的法术，和黑魔法科技的力量，和曾经的《白幽灵传奇之绝命逃亡》的剧情结构合起的相似。片尾处成龙讲故事的场景又有点像蒲松龄的感觉。不过熟悉和喜爱成龙功夫片的影迷应该都感觉得到，成龙现在是真的快要打不动了，但意外惊喜的是，如果他不做主角的话，他文武合一的戏还是可以的,1,3,9,0
可以归入儿童魔幻片，但比迪士尼差太远！哦，不该提迪士尼，因为连人家影子都看不到！,1,4,2,0
是个动作片就比叽叽歪歪的爱情片好看,1,6,8,0
不错哦，挺好的,0,1,10,0
喜欢看成龙拍的电影，内容精彩，我感觉不错哦，值得观看。,0,4,8,0
失望 不推荐 冲着成龙和施瓦辛格去的 没什么意思 剧情老套 没有新意,1,3,5,1
内容杂糅，人物塑造有点单薄,2,2,5,0
让世界知道龙的传人和精神,1,2,10,0
全程尴尬跳戏，明不明，清不清，中不中，洋不洋。要不是有大牌撑场面，单薄的情节快让我睡着了,0,3,4,0
真的太好看了,2,4,10,0
现实➕科幻，完美结合,2,3,10,0
一般的电影。,1,5,10,0
好像看懂了，好像又没看懂,0,3,5,1
挺好看的。习惯成龙大哥的电影。也喜欢他的功夫。,0,3,10,0
我是冲着成龙大哥去看的，我想问一句，成龙大哥这是怎么了，怎么演起烂片子了？,0,3,4,0
感觉还不错，场景满好的，打斗比较嗨，正义的力量终会战胜邪恶。,2,4,8,0
没去看，听说我逃过一劫~~,1,4,4,0
习惯性好评！还不错,1,3,8,0
我真的不明白演的是啥 可能真的像媒体说的 导演也很努力想给大家一桌满汉全席 其实呈现出来的是一桌浆糊,2,3,1,0
挺好看。比较振奋人心,0,2,9,0
成龙真的老了,2,2,6,1
一般般。。。,1,4,6,1
浪费我的钱，难看，难看；难看❗️成龙是缺钱吗？拍这么烂的片子,2,3,1,0
电影不错，影厅环境也很好,0,2,10,0
成龙老了，电影故事是好的但不知道在表达什么，拍摄更是不知所谓，一场适合睡觉的电影，无聊，有成龙主演的电影越来越差。,1,6,4,0
没有想象中那么好看，感觉太扯了,2,1,8,0
超级他么的精彩,1,5,10,0
大气，惊险，科幻，神话，唯一缺少了大哥一贯的幽默风趣诙谐搞笑感,1,5,9,0
还行，支持龙叔！,2,1,10,0
还好没去看。,1,5,1,0
剧情真的很烂，看完半场就出去了,1,3,1,0
大哥的电影这几年不行，但还是想看，加油,0,3,10,0
哎哟，不错哟,1,3,10,0
成龙大哥镜头太少了,0,2,6,1
垃圾，差评。。。。,1,3,2,0
这个真的是烂片，不跟你开玩笑的,1,4,3,0
好看！！！！！！！！！！！！！！！！！！！,0,1,10,0
大失所望……都不知道看的啥玩意...,1,4,1,0
成龙的电影大家应该抵制，这**代言游戏****,0,2,1,0
