content,gender,userlevel,score,ticket
有些可爱的震撼,0,2,9,0
不错，很好，很喜欢,0,2,10,0
不错很值得看,0,3,10,0
太好看了，喜欢。。。。。。。。。。。。,2,2,10,0
好看好看好看,0,2,10,0
很好很喜欢！,1,2,10,0
我觉得还挺好 但是被各种刷屏 实在是太烦了,1,5,1,0
超好看，值得看！,2,1,10,0
好看，强烈推荐,1,3,10,0
帅炸了，哭惨了,0,2,10,0
很不错，这两年国漫真的很可以,1,2,10,0
非常好，好想你哦！,1,2,10,0
很好的一部国漫,0,2,10,0
好看(｡･ω･｡)ﾉ♡好看(｡･ω･｡)ﾉ♡好看(｡･ω･｡)ﾉ♡,0,2,10,0
好看(｡･ω･｡)ﾉ♡好看(｡･ω･｡)ﾉ♡好看(｡･ω･｡)ﾉ♡,0,2,10,0
特别好看，值得推荐,0,3,10,0
带着孩子去看的，很震撼哦。,2,1,9,0
很好看的国产电影,0,2,10,0
很好，氛围也喜欢,0,2,10,0
中国动画行业的崛起,1,2,10,0
好看的不错！好,2,1,10,0
好看好看好看,1,2,10,0
还可以吧，就是篡改了故事的原来情节，看着有点乱。,0,2,8,0
我觉得还行！,0,2,10,0
不错，挺好看的,1,2,10,0
蛮搞笑的，也很感人,0,2,6,1
很喜欢，很好看,0,2,10,0
很好看很好看,0,2,10,0
记得这个看这个电影的时候，是做的情侣厅，当时看的真的超级刺激,2,3,9,0
我命由我不由天,2,3,8,0
好看啊，国产王者,2,1,10,0
好！！孩子们爱看,0,2,8,0
超级不错，看了2遍,0,2,10,0
好好哈哈哈哈,0,2,10,0
剧情有点匪夷所思,0,2,8,0
非常好看，搞笑,2,1,10,0
很不错的电影,1,2,10,0
经典名句，棒棒哒！,1,1,10,0
很自然，舒服,2,1,10,0
带孩子去看的，很好看。,0,2,10,0
真的很好看！,1,2,10,0
发VB火锅串串VB姐姐和,2,2,10,0
好看，值得去看！,1,1,10,0
孩子很喜欢，老少皆宜,2,2,10,0
国漫崛起   想看接下来的剧情   非常期待,2,1,8,0
太好看了 看哭了 以为能忍住,2,2,9,0
好看喜欢这部,2,2,10,0
很好，很不错,1,2,10,0
还可以吧，就是还可以,0,2,9,0
可以哦，加油噢力给,0,2,9,0
我命由我不由天，给吒儿打call～,2,3,10,0
很不错，值得购买,0,3,10,0
不错，老公很喜欢看,0,2,9,0
很好很好很好,0,1,10,0
可以，很好看,1,3,10,0
