content,gender,userlevel,score,ticket
可能是吹过头了，看的时候没想象的好看,0,1,8,0
非常棒，很爽！,0,2,10,0
中国的山峰必须由中国人登上。,1,1,7,1
不错，吴京的电影就是好看！,0,2,10,0
超喜欢，强烈推荐,0,2,10,0
中国人以自己的方式拯救地球,0,2,8,0
很好看，，，，,2,2,10,0
中国科幻大片的鼻祖,2,2,10,0
不错感觉还可以,2,2,9,0
电影还可以，不错,0,4,9,0
挺好看的，保护地球,0,1,10,0
拯救地球，靠我们自己,0,2,10,0
差不多，还有待提高,0,1,10,0
很不错的电影,1,2,10,0
情感处理和剧情接续不是很好。整体来说还行。,0,2,8,0
很好看，让人回味,0,2,10,0
头一回看电影睡着了,0,2,1,0
很好，值得看一下,0,1,10,0
不错不错，拍的好，有意义,2,2,10,0
真心不错，良心作品,0,2,0,1
